Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
Vika&#39;s Essentials,Vika's Essentials Makeup Remover,EWG Verified,Makeup Remover,,,,,"Ingredients from packaging:
Apricot Kernel Oil (Prunus armeniaca)*, Sweet Almond Oil (Prunus amygdalus dulcis)*, Virgin Coconut Oil (Cocos nucifera)*
Warnings from packaging:
0","EWG Verified,Product's animal testing policies,Unknown"
Empiresquid Organics,"EMPIRESQUID ORGANICS, EYE MAKEUP REMOVER",01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
distilled water, almond oil* castile soap* and vitamin e. *certified organic","Product's animal testing policies,Unknown"
Plant Therapy,"Plant Therapy Hydrosol, Melissa",01,Makeup Remover,LOW,LOW,LOW,HIGH,"Ingredients from packaging:
Melissa Officinalis Flower/Leaf/Stem Water*, Leuconostoc/Radish Root Ferment Filtrate, Aqua (Water)","Product's animal testing policies,Leaping Bunny"
Andrea,"Andrea EyeQ's Eye Make-Up Remover Pads, Moisturizing",01,Eye Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
MINERAL OIL (PARAFFINUM LIQUIDUM, HUILE MINERAL), CHAMOMILA RECUTITA (MATRICARIA) FLOWER EXTRACT, GLYCINE SOJA (SOYBEAN) SEED EXTRACT CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL","Product's animal testing policies,PETA Cruelty-free Companies"
Clove + Hallow,Clove + Hallow Makeup Melt,01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Fractionated Coconut Oil, Polyglyceryl-10 Laurate, Sweet Almond Oil, Sunflower Oil, Sorbitan Sesquioleate, Sunflower Seed Wax","Product's animal testing policies,PETA Cruelty-free Companies"
Glow Recipe,"Glow Recipe Enzyme Cleansing Balm, Papaya Sorbet",01,Makeup Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
Cetyl Ethylhexanoate, Sorbitan Oleate, Prunus Armeniaca (Apricot) Kernel Oil, Polyethylene, Aqua/Water/Eau, Camellia Japonica Seed Oil, Carica Papaya (Papaya) Seed Oil, Carica Papaya (Papaya) Fruit Extract, Papain, Vaccinium Angustifolium (Blueberry) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Alkanna Tinctoria Root Extract, Capsicum Annuum Fruit Extract, Maltodextrin, Caprylic/Capric Triglyceride, Levulinic Acid, Pentylene Glycol, Sodium Metabisulfite","Product's animal testing policies,Unknown"
Plant Therapy,"Plant Therapy Hydrosol, Roman Chamomile",01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Anthemis Nobilis (Roman Chamomile) Flower Water*, Leuconostoc/Radish Root Ferment Filtrate, Aqua (Water)","Product's animal testing policies,Leaping Bunny"
Clinique,Clinique Take the Day Off Cleansing Balm,01,Makeup Remover,LOW,LOW,LOW,MODERATE,"Ingredients from packaging:
ETHYLHEXYL PALMITATE, CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, SORBETH-30 TETRAOLEATE, POLYETHYLENE, PEG-5 GLYCERYL TRIISOSTEARATE, WATER AQUAEAU, TOCOPHEROL, PHENOXYETHANOL [ILN30654]","Product's animal testing policies,Unknown"
Bioderma,Bioderma Sensibio Micellar Cleansing Oil,01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
ETHYLHEXYL PALMITATE, BRASSICA CAMPESTRIS (RAPESEED) SEED OIL, POLYGLYCERYL-4 OLEATE, AQUA/WATER/EAU, SODIUM PCA, PROPANEDIOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, BENZOTRIAZOLYL DODECYL P-CRESOL, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, LAMINARIA OCHROLEUCA EXTRACT, STEARYL GLYCYRRHETINATE","Product's animal testing policies,Unknown"
Plant Therapy,"Plant Therapy Hydrosol, Rose",01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
Rosa Damascena (Rose) Flower Water*, Leuconostoc/Radish Root Ferment Filtrate, Aqua (Water)","Product's animal testing policies,Leaping Bunny"
Andrea,"Andrea EyeQ's Eye Make-Up Remover Pads, Ultra Quick",01,Makeup Remover,LOW,LOW,LOW,LOW,"Ingredients from packaging:
MINERAL OIL (PARAFFINUM LIQUIDUM, HUILE MINERAL), ALOE BARBADENSIS LEAF EXTRACT, TRITICUM VULGARE (WHEAT) GERM OIL, SOJA GLYCINE (SOYBEAN) OIL","Product's animal testing policies,PETA Cruelty-free Companies"
GXVE,GXVE Double Dippin' 2-in-1 Lip Color Remover & Lip Mask,01,Makeup Remover,LOW,LOW,MODERATE,LOW,"Ingredients from packaging:
Papaya Enzymes, Vitamin E, Sodium Hyaluronate, Castor Seed Oil","Product's animal testing policies,Unknown"
